type,difficulty,category,question,correct_answer,incorrect_answers
multiple,medium,Entertainment: Video Games,"What is the name of Joel&#039;s daughter in the game, &quot;The Last of Us&quot;? ",Sarah,"[""Ellie"",""Tess"",""Marlene""]"
boolean,medium,Science: Computers,"To bypass US Munitions Export Laws, the creator of the PGP published all the source code in book form. ",True,"[""False""]"
multiple,easy,Entertainment: Video Games,Which company is the one responsible for creating the strategy videogame Stellaris?,Paradox Development Studio,"[""Overkill Software"",""Tripwire Interactive LLC"",""Ensemble Studios""]"
multiple,medium,Science: Computers,All of the following programs are classified as raster graphics editors EXCEPT:,Inkscape,"[""Paint.NET"",""GIMP"",""Adobe Photoshop""]"
multiple,hard,Science: Mathematics,Which of the following mathematicians made major contributions to game theory?,John Von Neumann,"[""Carl Friedrich Gauss"",""Leonhard Euler"",""Stefan Banach""]"
multiple,medium,Science: Computers,The teapot often seen in many 3D modeling applications is called what?,Utah Teapot,"[""Pixar Teapot"",""3D Teapot"",""Tennessee Teapot""]"
multiple,hard,Entertainment: Video Games,What device allows Tracer to manipulate her own time in the game &quot;Overwatch&quot;?,Chronal Accelerator,"[""B.L.I.N.K"",""Spacial Displacement Manipulator"",""TMD (Time Manipulation Device)""]"
boolean,easy,Entertainment: Television,"In &quot;Doctor Who&quot;, the Doctor gets his TARDIS by stealing it.",True,"[""False""]"
multiple,medium,Celebrities,Nikki Diamond portrayed which Gladiator in the 1992 TV show &quot;Gladiators&quot;?,Scorpio,"[""Jet"",""Nightshade"",""Falcon""]"
multiple,medium,Entertainment: Video Games,Which of these stages is not playable in &quot;Super Smash Bros. for Wii U&quot;?,Fountain of Dreams,"[""Bridge of Eldin"",""75m"",""Miiverse""]"
boolean,medium,Entertainment: Cartoon &amp; Animations,Snagglepuss was part of the Yogi Yahooies in the 1977 show Scooby&#039;s All-Star Laff-a-Lympics.,False,"[""True""]"
multiple,medium,Entertainment: Video Games,Which franchise had a special event hosted in the popular MMORPG Final Fantasy XIV: A Realm Reborn?,Yo-kai Watch,"[""Pok&eacute;mon"",""Yu-gi-oh"",""Buddyfight""]"
boolean,easy,Sports,Shaquille O&rsquo;Neal has only made one three pointer in his career.,True,"[""False""]"
boolean,medium,History,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",True,"[""False""]"
multiple,medium,Art,Which one of these paintings is not by Caspar David Friedrich?,The Black Sea,"[""The Sea of Ice"",""Wanderer above the Sea of Fog"",""The Monk by the Sea""]"
multiple,hard,Entertainment: Television,What was the date of original airing of the pilot episode of My Little Pony: Friendship is Magic?,"October 10th, 2010","[""November 6th, 2010"",""April 14th, 1984"",""May 18th, 2015""]"
