type,difficulty,category,question,correct_answer,incorrect_answers
multiple,medium,History,In what year was the video game company Electronic Arts founded?,1982,"[""1999"",""1981"",""2005""]"
multiple,medium,History,"In 1961, an American B-52 aircraft crashed and nearly detonated two 4mt nuclear bombs over which US city?","Goldsboro, North Carolina","[""Hicksville, New York"",""Jacksonville, Florida"",""Conway, Arkansas""]"
multiple,medium,Entertainment: Video Games,"Which of these weapons is NOT available to the Terrorist team in the game, &quot;Counter-Strike: Global Offensive&quot;?",SCAR-20,"[""SG 550"",""CZ-75"",""XM1014""]"
multiple,medium,Geography,Where is the area commonly known as the Bermuda Triangle?,"North Atlantic Ocean, between Florida and Puerto Rico","[""North Pacific Ocean, between Japan and the USA"",""In the Caribbean Sea"",""South Pacific Ocean, far off Chile""]"
multiple,medium,Entertainment: Comics,Who wrote the Batman comic series &quot;The Killing Joke&quot;?,Alan Moore,"[""Bill Finger"",""Frank Miller"",""Jerry Siegel""]"
multiple,easy,Vehicles,The LS7 engine is how many cubic inches?,427,"[""346"",""364"",""376""]"
multiple,medium,History,The seed drill was invented by which British inventor?,Jethro Tull,"[""Charles Babbage"",""Isaac Newton"",""J.J Thomson""]"
multiple,medium,Entertainment: Film,Which actor plays the role of the main antagonist in the 2011 movie &quot;Tower Heist?&quot;,Alan Alda,"[""Eddie Murphy"",""Alec Baldwin"",""Kevin Nealon""]"
multiple,medium,Entertainment: Music,Which song by Swedish electronic musician Avicii samples the song &quot;Something&#039;s Got A Hold On Me&quot; by Etta James?,Levels,"[""Fade Into Darkness"",""Silhouettes"",""Seek Bromance""]"
multiple,easy,Entertainment: Video Games,What is the code name of Morgana the cat in Persona 5?,Mona,"[""Panther"",""Nightstalker"",""Zorro""]"
boolean,easy,Entertainment: Japanese Anime &amp; Manga,"In Pok&eacute;mon, Ash&#039;s Pikachu refuses to go into a pokeball.",True,"[""False""]"
multiple,hard,Entertainment: Film,"Which of the following films was directed by Ivan Reitman, written by Gary Ross, featured Kevin Kline, and was released in 1993?",Dave,"[""John"",""Will"",""Carl""]"
boolean,easy,General Knowledge,The Lego Group was founded in 1932.,True,"[""False""]"
multiple,easy,Entertainment: Video Games,Who is the protagonist in the game &quot;The Walking Dead: Season One&quot;?,Lee Everett,"[""Clementine"",""Kenny"",""Rick Grimes""]"
multiple,medium,Entertainment: Film,Who plays &quot;Bruce Wayne&quot; in the 2008 movie &quot;The Dark Knight&quot;?,Christian Bale,"[""Michael Caine"",""Ron Dean"",""Heath Ledger""]"
boolean,easy,Entertainment: Video Games,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,True,"[""False""]"
